# time = 0
# Grid points = 169
# Domain Size = 14
# Pressure (Pa) = 101325
#             1_pos             2_posf             3_rho             4_dvisc             5_uvel             6_vvel             7_wvel
   3.7590889208e+00   3.7292870192e+00   1.0000000000e+00   1.2500000000e-02   1.7280749668e+00  -4.6775382304e-02   1.1538112031e-01
   3.8204532466e+00   3.7888908224e+00   1.0000000000e+00   1.2500000000e-02   1.7885401673e+00  -4.3762307294e-02   1.2082693454e-01
   3.8859315404e+00   3.8520156708e+00   1.0000000000e+00   1.2500000000e-02   1.8480780738e+00  -3.8336493507e-02   1.2622271565e-01
   3.9570237170e+00   3.9198474099e+00   1.0000000000e+00   1.2500000000e-02   1.9063706808e+00  -2.8786037104e-02   1.3143397911e-01
   4.0360555294e+00   3.9942000240e+00   1.0000000000e+00   1.2500000000e-02   1.9628815949e+00  -1.2533031659e-02   1.3620136607e-01
   4.1265150586e+00   4.0779110347e+00   1.0000000000e+00   1.2500000000e-02   2.0164475759e+00   1.4475230394e-02   1.4002676374e-01
   4.2323773513e+00   4.1751190826e+00   1.0000000000e+00   1.2500000000e-02   2.0642191176e+00   5.8141806637e-02   1.4197787429e-01
   4.3547961890e+00   4.2896356199e+00   1.0000000000e+00   1.2500000000e-02   2.1013644297e+00   1.2386293401e-01   1.4079800449e-01
   4.4890026093e+00   4.4199567581e+00   1.0000000000e+00   1.2500000000e-02   2.1259485909e+00   2.0963373892e-01   1.3618802177e-01
   4.6271348384e+00   4.5580484605e+00   1.0000000000e+00   1.2500000000e-02   2.1447030965e+00   3.0231380793e-01   1.3015411401e-01
   4.7615906019e+00   4.6962212164e+00   1.0000000000e+00   1.2500000000e-02   2.1696981555e+00   3.8350925752e-01   1.2618147133e-01
   4.8836990484e+00   4.8269599875e+00   1.0000000000e+00   1.2500000000e-02   2.2091244149e+00   4.3914628474e-01   1.2698295845e-01
   4.9869405578e+00   4.9404381093e+00   1.0000000000e+00   1.2500000000e-02   2.2603733714e+00   4.6769017206e-01   1.3249051019e-01
   5.0723203019e+00   5.0334430063e+00   1.0000000000e+00   1.2500000000e-02   2.3164098448e+00   4.7713774934e-01   1.4091349383e-01
   5.1452279118e+00   5.1111975974e+00   1.0000000000e+00   1.2500000000e-02   2.3739093132e+00   4.7498945944e-01   1.5100742491e-01
   5.2101538213e+00   5.1792582262e+00   1.0000000000e+00   1.2500000000e-02   2.4320560571e+00   4.6552951577e-01   1.6222575724e-01
   5.2698592115e+00   5.2410494163e+00   1.0000000000e+00   1.2500000000e-02   2.4906169372e+00   4.5112546488e-01   1.7430136002e-01
   5.3260828805e+00   5.2986690067e+00   1.0000000000e+00   1.2500000000e-02   2.5495071050e+00   4.3320432073e-01   1.8708272577e-01
   5.3800046607e+00   5.3534967544e+00   1.0000000000e+00   1.2500000000e-02   2.6086926324e+00   4.1270254929e-01   2.0047365130e-01
   5.4324899014e+00   5.4065125671e+00   1.0000000000e+00   1.2500000000e-02   2.6681601235e+00   3.9028100620e-01   2.1440603802e-01
   5.4842240000e+00   5.4584672358e+00   1.0000000000e+00   1.2500000000e-02   2.7279044696e+00   3.6643710484e-01   2.2882510961e-01
   5.5357923710e+00   5.5099807643e+00   1.0000000000e+00   1.2500000000e-02   2.7879219304e+00   3.4156892057e-01   2.4367936144e-01
   5.5877324933e+00   5.5616039777e+00   1.0000000000e+00   1.2500000000e-02   2.8482041031e+00   3.1601542238e-01   2.5891165456e-01
   5.6405717468e+00   5.6138610088e+00   1.0000000000e+00   1.2500000000e-02   2.9087310462e+00   2.9008423326e-01   2.7444926472e-01
   5.6948589583e+00   5.6672824848e+00   1.0000000000e+00   1.2500000000e-02   2.9694628785e+00   2.6407241408e-01   2.9019099247e-01
   5.7512231991e+00   5.7224354318e+00   1.0000000000e+00   1.2500000000e-02   3.0303598486e+00   2.3826985927e-01   3.0599689547e-01
   5.8103361115e+00   5.7800109664e+00   1.0000000000e+00   1.2500000000e-02   3.0912862571e+00   2.1300793439e-01   3.2163934730e-01
   5.8729396679e+00   5.8406612567e+00   1.0000000000e+00   1.2500000000e-02   3.1519937307e+00   1.8866330821e-01   3.3676232221e-01
   5.9399531980e+00   5.9052180791e+00   1.0000000000e+00   1.2500000000e-02   3.2121574593e+00   1.6562893081e-01   3.5083379648e-01
   6.0125054204e+00   5.9746883169e+00   1.0000000000e+00   1.2500000000e-02   3.2713022691e+00   1.4430935543e-01   3.6303540599e-01
   6.0920144657e+00   6.0503225240e+00   1.0000000000e+00   1.2500000000e-02   3.3287257651e+00   1.2507795287e-01   3.7209565879e-01
   6.1802778213e+00   6.1337064075e+00   1.0000000000e+00   1.2500000000e-02   3.3833550666e+00   1.0819097700e-01   3.7601885489e-01
   6.2794832754e+00   6.2268492351e+00   1.0000000000e+00   1.2500000000e-02   3.4334768181e+00   9.3630017269e-02   3.7167496236e-01
   6.3918187197e+00   6.3321173158e+00   1.0000000000e+00   1.2500000000e-02   3.4763109172e+00   8.0840819167e-02   3.5437140205e-01
   6.5178257242e+00   6.4515201236e+00   1.0000000000e+00   1.2500000000e-02   3.5077362888e+00   6.8460024924e-02   3.1825536568e-01
   6.6537615906e+00   6.5841313249e+00   1.0000000000e+00   1.2500000000e-02   3.5237924427e+00   5.4535694372e-02   2.5947244347e-01
   6.7925167217e+00   6.7233918564e+00   1.0000000000e+00   1.2500000000e-02   3.5244505835e+00   3.7814075832e-02   1.8053708805e-01
   6.8962311902e+00   6.8616415869e+00   1.0000000000e+00   1.2500000000e-02   3.5166936528e+00   2.3266352441e-02   1.1099817903e-01
   6.9654103967e+00   6.9308207935e+00   1.0000000000e+00   1.2500000000e-02   3.5098134434e+00   1.3087583722e-02   6.2393871329e-02
